ZoomInfo Company ID,Company Name,Website,Founded Year,Company HQ Phone,Fax,Ticker,Revenue (in 000s USD),Revenue Range (in USD),Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company Street Address,Company City,Company State,Company Zip Code,Company Country,Full Address,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Entity Name (Ultimate Parent),Company ID (Immediate Parent),Entity Name (Immediate Parent),Relationship (Immediate Parent),Query Name
"411251346","Solar Kleen","www.solarkleen.com","","(800) 545-6557","","","2037","$1 mil. - $5 mil.","10","Employees.10to19","5074","507","50;507;5074","423720","42372","42;423;4237;42372;423720","Retail","Home Improvement & Hardware Retail","Retail","Home Improvement & Hardware Retail","retail","retail.hardware","","https://app.zoominfo.com/#/apps/profile/company/411251346","http://www.linkedin.com/company/solar-kleen-llc","","","Private","B2C","No","","0","0","","","","","1 Broadway Unit 2","Belle Mead","New Jersey","08502","United States","1 Broadway Unit 2, Belle Mead, New Jersey, 08502, United States","1","","","","","","","instantexportexcel1714527043682"
"564453088","Solar Gleam Energy","solargleam.energy","2020","","","","2808","$1 mil. - $5 mil.","17","Employees.10to19","1629","162","16;162;1629","237130","23713","22;221;23;237;2371;23713;237130","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste;Construction","Electricity, Oil & Gas;Civil Engineering Construction","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/564453088","http://www.linkedin.com/company/solar-gleam-energy","http://www.facebook.com/solargleamfb","","Private","B2B","Yes","August 29, 2023","0","0","","","","","252 Nassau St","Princeton","New Jersey","08542","United States","252 Nassau St, Princeton, New Jersey, 08542, United States","1","","","","","","","instantexportexcel1714527043682"
"1333961194","Community Solar Circle","www.communitysolarcircle.com","","(866) 283-6188","","","2182","$1 mil. - $5 mil.","14","Employees.10to19","4931","493","49;493;4931","221118","22111","22;221;2211;22111;221118","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/1333961194","","http://www.facebook.com/communitysolarcircle","","Private","","No","","0","0","","","","","800 Market St","Camden","New Jersey","08102","United States","800 Market St, Camden, New Jersey, 08102, United States","1","","","","","","","instantexportexcel1714527043682"
"1311629399","Go Solar New Jersey","www.gosolarnewjersey.org","","","","","2504","$1 mil. - $5 mil.","17","Employees.10to19","8661","866","86;866;8661","813110","81311","81;813;8131;81311;813110","Organizations","Religious Organizations","Organizations","Religious Organizations","orgs","orgs.religious","","https://app.zoominfo.com/#/apps/profile/company/1311629399","","http://www.facebook.com/go-solar-new-jersey-101903135104680","http://www.twitter.com/solar_jersey","Private","","No","","0","0","","","","","3304 Sylon Blvd 2","Hainesport","New Jersey","08036","United States","3304 Sylon Blvd 2, Hainesport, New Jersey, 08036, United States","1","","","","","","","instantexportexcel1714527043682"
"358660520","Eco Solar Solutions","www.ecosolarsolutionsllc.com","","","","","401","Under $500,000","3","Employees.1to4","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/358660520","","","","Private","","No","","0","0","","","","","PO Box 622","Peapack","New Jersey","07977","United States","PO Box 622, Peapack, New Jersey, 07977, United States","","","","","","","","instantexportexcel1714527043682"
"1281450684","Solar nails","","","(732) 326-0008","","","113","Under $500,000","2","Employees.1to4","7231","723","72;723;7231","812113","81211","81;812;8121;81211;812113","Consumer Services","Barber Shops & Beauty Salons","Consumer Services","Barber Shops & Beauty Salons","consumerservices","consumerservices.hairsalon","","https://app.zoominfo.com/#/apps/profile/company/1281450684","","","","Private","B2C","No","","0","0","","","","","458 Rahway Ave","Woodbridge","New Jersey","07095","United States","458 Rahway Ave, Woodbridge, New Jersey, 07095, United States","1","","","","","","","instantexportexcel1714527043682"
"1314151747","Bloomfield Solar Power Systems","www.bloomfieldsolarpowersystems.com","","","","","4544","$1 mil. - $5 mil.","22","Employees.20to49","4911","491","49;491;4911","221114","22111","22;221;2211;22111;221114","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","14821360","https://app.zoominfo.com/#/apps/profile/company/1314151747","","","","Private","","No","","0","0","","","","","554 Bloomfield Ave","Bloomfield","New Jersey","07003","United States","554 Bloomfield Ave, Bloomfield, New Jersey, 07003, United States","1","","","","","","","instantexportexcel1714527043682"
"1314150249","Toms River Solar Power Solutions","www.tomsriversolarpowersolutions.com","","","","","2550","$1 mil. - $5 mil.","13","Employees.10to19","4911","491","49;491;4911","221114","22111","22;221;2211;22111;221114","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/1314150249","","","","Private","","No","","0","0","","","","","9 Flint Rd","Toms River","New Jersey","08757","United States","9 Flint Rd, Toms River, New Jersey, 08757, United States","1","","","","","","","instantexportexcel1714527043682"
"345645056","Solar","www.ordersolardominho.com","1974","(973) 844-0500","","","594","$500,000 - $1 mil.","8","Employees.5to9","5812","581","58;581;5812","722511","72251","72;722;7225;72251;722511","Hospitality","Restaurants","Hospitality","Restaurants","hospitality","hospitality.restaurant","","https://app.zoominfo.com/#/apps/profile/company/345645056","","http://www.facebook.com/solardominhonj","","Private","B2B","No","","0","0","","","","","15 Cleveland St","Belleville","New Jersey","07109","United States","15 Cleveland St, Belleville, New Jersey, 07109, United States","2","","","","","","","instantexportexcel1714527043682"
"536790517","Solar","www.njsolarsolution.com","","(201) 592-5945","","","1297","$1 mil. - $5 mil.","7","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/536790517","","http://www.facebook.com/sunpower-solar-1285966448136363","","Private","","Yes","August 21, 2019","0","0","","","","","411 Hackensack Ave Ste 200","Hackensack","New Jersey","07601","United States","411 Hackensack Ave Ste 200, Hackensack, New Jersey, 07601, United States","1","","","","","","","instantexportexcel1714527043682"
"1134194775","Solar Fashion","","","(732) 276-7410","","","789","$500,000 - $1 mil.","2","Employees.1to4","5621","562","56;562;5621","448120","424350","42;424;4243;42435;424350;44;448;4481;44812;448120","Retail","Apparel & Accessories Retail","Retail","Apparel & Accessories Retail","retail","retail.clothes","","https://app.zoominfo.com/#/apps/profile/company/1134194775","","","","Private","B2C","No","","0","0","","","","","141 Ocean Ave","Lakewood","New Jersey","08701","United States","141 Ocean Ave, Lakewood, New Jersey, 08701, United States","1","","","","","","","instantexportexcel1714527043682"
"348710542","reNRG Partners","www.renrg.com","","","","","2024","$1 mil. - $5 mil.","9","Employees.5to9","49","","49","221","22","22;221","","","","","","","","https://app.zoominfo.com/#/apps/profile/company/348710542","http://www.linkedin.com/company/renrgpartners","","","Private","B2B","Yes","May 23, 2023","0","0","","","","","852 Franklin Ave Pmb 212","Franklin Lakes","New Jersey","07417","United States","852 Franklin Ave Pmb 212, Franklin Lakes, New Jersey, 07417, United States","1","","","","","","","instantexportexcel1714527043682"
"1314115683","Alerce Solar","www.alercesolar.com","","(201) 584-6833","","","3696","$1 mil. - $5 mil.","16","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","16604547","https://app.zoominfo.com/#/apps/profile/company/1314115683","","http://www.facebook.com/getsolarplanet","","Private","B2B","No","","0","0","","","","","78 John Miller Way","Kearny","New Jersey","07032","United States","78 John Miller Way, Kearny, New Jersey, 07032, United States","1","","","","","","","instantexportexcel1714527043682"
"551631993","Solar Suitcase","www.solarsuitcasellc.com","","(888) 667-1178","","","784","$500,000 - $1 mil.","6","Employees.5to9","4931","493","49;493;4931","221118","22111","22;221;2211;22111;221118","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/551631993","","","","Private","","No","","0","0","","","","","51 Bridge St","Lambertville","New Jersey","08530","United States","51 Bridge St, Lambertville, New Jersey, 08530, United States","1","","","","","","","instantexportexcel1714527043682"
"1160225442","American Home Contractors","www.njahc.com","","(908) 771-0123","","","1463","$1 mil. - $5 mil.","13","Employees.10to19","1761","176","17;176;1761","238170","23817","23;238;2381;23817;238170","Construction","Commercial & Residential Construction","Construction","Commercial & Residential Construction","construction","construction.construction","10166081","https://app.zoominfo.com/#/apps/profile/company/1160225442","","http://www.facebook.com/american-home-contractors-156375981051568","","Private","","No","","0","0","","","","","124 Crescent Rd","Florham Park","New Jersey","07932","United States","124 Crescent Rd, Florham Park, New Jersey, 07932, United States","1","","","","","","","instantexportexcel1714527043682"
"358660709","SunDial Solar Innovations","www.sundialnj.com","","(855) 475-7669","","","776","$500,000 - $1 mil.","5","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction;Business Services","Civil Engineering Construction;Management Consulting","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/358660709","","http://www.facebook.com/sundialsolarnj","","Private","","Yes","August 17, 2020","0","0","","","","","792 Main Rd","Towaco","New Jersey","07082","United States","792 Main Rd, Towaco, New Jersey, 07082, United States","1","","","","","","","instantexportexcel1714527043682"
