ZoomInfo Company ID,Company Name,Website,Founded Year,Company HQ Phone,Fax,Ticker,Revenue (in 000s USD),Revenue Range (in USD),Employees,Employee Range,SIC Code 1,SIC Code 2,SIC Codes,NAICS Code 1,NAICS Code 2,NAICS Codes,Primary Industry,Primary Sub-Industry,All Industries,All Sub-Industries,Industry Hierarchical Category,Secondary Industry Hierarchical Category,Alexa Rank,ZoomInfo Company Profile URL,LinkedIn Company Profile URL,Facebook Company Profile URL,Twitter Company Profile URL,Ownership Type,Business Model,Certified Active Company,Certification Date,Total Funding Amount (in 000s USD),Recent Funding Amount (in 000s USD),Recent Funding Round,Recent Funding Date,Recent Investors,All Investors,Company Street Address,Company City,Company State,Company Zip Code,Company Country,Full Address,Number of Locations,Company Is Acquired,Company ID (Ultimate Parent),Entity Name (Ultimate Parent),Company ID (Immediate Parent),Entity Name (Immediate Parent),Relationship (Immediate Parent),Query Name
"1127053844","Dividend Solar","www.dividendsolar.com","2013","(844) 805-7100","","","1420","$1 mil. - $5 mil.","12","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1127053844","http://www.linkedin.com/company/dividend-solar","http://www.facebook.com/kyleshick30","","Private","B2B","Yes","April 02, 2019","0","0","","","","","2514 Buell Ave","Austin","Texas","78757","United States","2514 Buell Ave, Austin, Texas, 78757, United States","1","","","","","","","instantexportexcel1714527006743"
"1313964952","Solvari Solar","www.solvarisolar.com","","(518) 320-2613","","","3605","$1 mil. - $5 mil.","4","Employees.1to4","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","21243158","https://app.zoominfo.com/#/apps/profile/company/1313964952","http://www.linkedin.com/company/solvari-solar","","","Private","","No","","0","0","","","","","13838 The Lakes Blvd Unit 5105","Pflugerville","Texas","78660","United States","13838 The Lakes Blvd Unit 5105, Pflugerville, Texas, 78660, United States","1","","","","","","","instantexportexcel1714527006743"
"398203316","Solar Preparatory School for Girls","www.thesolarleague.com","","(972) 749-4300","","","3022","$1 mil. - $5 mil.","6","Employees.5to9","8211","824","82;821;8211;824","611110","61111","61;611;6111;61111;611110","Education","K-12 Schools","Education","K-12 Schools","education","education.k12","","https://app.zoominfo.com/#/apps/profile/company/398203316","","http://www.facebook.com/thesolarleague","","Private","B2C","No","","0","0","","","","","2617 N Henderson Ave","Dallas","Texas","75206","United States","2617 N Henderson Ave, Dallas, Texas, 75206, United States","1","","","","","","","instantexportexcel1714527006743"
"1161411579","Solar Shades of San Antonio","www.mysolarshades.com","","(210) 657-9931","","","956","$500,000 - $1 mil.","8","Employees.5to9","2591","259","25;259;2591","337920","33792","33;337;3379;33792;337920","Manufacturing","Household Goods","Manufacturing","Household Goods","mfg","mfg.household","","https://app.zoominfo.com/#/apps/profile/company/1161411579","http://www.linkedin.com/company/solar-shades-co","","","Private","","No","","0","0","","","","","PO Box 34955","San Antonio","Texas","78265","United States","PO Box 34955, San Antonio, Texas, 78265, United States","","","","","","","","instantexportexcel1714527006743"
"1284364704","Houston Solar Panel Installation - Solar","","","(281) 241-9167","","","1711","$1 mil. - $5 mil.","9","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1284364704","","","","Private","","No","","0","0","","","","","811 Main St","Houston","Texas","77002","United States","811 Main St, Houston, Texas, 77002, United States","1","","","","","","","instantexportexcel1714527006743"
"529563570","Solar Refrigerators Of America","www.solarrefrigeratorsofamerica.net","2008","(281) 880-5100","","","988","$500,000 - $1 mil.","6","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/529563570","","","","Private","","No","","0","0","","","","","3126 Sherwood Bend Dr","Houston","Texas","77068","United States","3126 Sherwood Bend Dr, Houston, Texas, 77068, United States","1","","","","","","","instantexportexcel1714527006743"
"1143121384","Solar Solutions North","","","(940) 872-2300","","","169","Under $500,000","4","Employees.1to4","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1143121384","","","","Private","","No","","0","0","","","","","1102 Roberts St","Bowie","Texas","76230","United States","1102 Roberts St, Bowie, Texas, 76230, United States","1","","","","","","","instantexportexcel1714527006743"
"1312531216","Solar Power Eco","www.solarpowereco.com","","","","","3326","$1 mil. - $5 mil.","302","Employees.250to499","4911","491","49;491;4911","221114","22111","22;221;2211;22111;221114","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/1312531216","http://www.linkedin.com/company/solar-power-eco","","","Private","","No","","0","0","","","","","325 N Saint Paul St Ste 3100","Dallas","Texas","75201","United States","325 N Saint Paul St Ste 3100, Dallas, Texas, 75201, United States","1","","","","","","","instantexportexcel1714527006743"
"1293976344","Solar Nerd of America","www.solarnerdofamerica.com","","","","","2816","$1 mil. - $5 mil.","10","Employees.10to19","5074","507","50;507;5074","423720","42372","42;423;4237;42372;423720","Retail","Home Improvement & Hardware Retail","Retail","Home Improvement & Hardware Retail","retail","retail.hardware","16952383","https://app.zoominfo.com/#/apps/profile/company/1293976344","","http://www.facebook.com/solar-nerd-of-america-1457171707759216","","Private","B2C","No","","0","0","","","","","16620 San Pedro Ave Ste 248","San Antonio","Texas","78232","United States","16620 San Pedro Ave Ste 248, San Antonio, Texas, 78232, United States","1","","","","","","","instantexportexcel1714527006743"
"475705417","Triple S Solar Screen","","","","","","1107","$1 mil. - $5 mil.","5","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/475705417","","","","Private","","No","","0","0","","","","","3903 Warehouse Row Ste D","Austin","Texas","78704","United States","3903 Warehouse Row Ste D, Austin, Texas, 78704, United States","","","","","","","","instantexportexcel1714527006743"
"1320785920","SPG Solar","www.spgsolar.io","2019","","","","1497","$1 mil. - $5 mil.","27","Employees.20to49","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1320785920","http://www.linkedin.com/company/spgsolar","","","Private","","No","","0","0","","","","","3033 Chimney Rock Rd Ste 218","Houston","Texas","77056","United States","3033 Chimney Rock Rd Ste 218, Houston, Texas, 77056, United States","1","","","","","","","instantexportexcel1714527006743"
"507625662","Solar Mastermind Conference","www.solarmastermindconference.com","","","","","3704","$1 mil. - $5 mil.","14","Employees.10to19","7389","738","73;738;7389","561920","56192","56;561;5619;56192;561920","Hospitality","Cultural & Informational Centers","Hospitality","Cultural & Informational Centers","hospitality","hospitality.cultural","","https://app.zoominfo.com/#/apps/profile/company/507625662","","","","Private","","No","","0","0","","","","","11605 Tx-151","San Antonio","Texas","78251","United States","11605 Tx-151, San Antonio, Texas, 78251, United States","1","","","","","","","instantexportexcel1714527006743"
"1326173533","Commercial Solar Companies","www.commercial-solar.org","","(855) 801-0069","","","2141","$1 mil. - $5 mil.","11","Employees.10to19","8748","874","87;874;8748","541690","54169","54;541;5416;54169;541690","Business Services","Management Consulting","Business Services","Management Consulting","bizservice","bizservice.consulting","12327314","https://app.zoominfo.com/#/apps/profile/company/1326173533","http://www.linkedin.com/company/solaroneusa","http://www.facebook.com/solaroneus","","Private","","No","","0","0","","","","","2009 Independence Dr Ste 101A","Sherman","Texas","75090","United States","2009 Independence Dr Ste 101A, Sherman, Texas, 75090, United States","1","","","","","","","instantexportexcel1714527006743"
"1209987571","Texan Glass & Solar Control","www.texansolarscreens.com","","","(281) 292-1477","","1103","$1 mil. - $5 mil.","10","Employees.10to19","5231","523","52;523;5231","444190","444180","44;444;4441;44418;444180;44419;444190","Retail","Home Improvement & Hardware Retail","Retail","Home Improvement & Hardware Retail","retail","retail.hardware","","https://app.zoominfo.com/#/apps/profile/company/1209987571","http://www.linkedin.com/company/texan-glass-&-solar-control","http://www.facebook.com/texanglass","http://www.twitter.com/texanglass","Private","B2C","No","","0","0","","","","","24645 Budde Rd","The Woodlands","Texas","77380","United States","24645 Budde Rd, The Woodlands, Texas, 77380, United States","3","","","","","","","instantexportexcel1714527006743"
"1318888238","5 Dog Digital Marketing & Web Design","www.5dogdigital.com","2000","","","","843","$500,000 - $1 mil.","6","Employees.5to9","7374","737","73;737;7374","518210","51821","51;518;5182;51821;518210","Media & Internet","Data Collection & Internet Portals","Media & Internet","Data Collection & Internet Portals","media","media.data","","https://app.zoominfo.com/#/apps/profile/company/1318888238","http://www.linkedin.com/company/5-dog-digital-marketing-web-design","http://www.facebook.com/5dogdigital","http://www.twitter.com/5dogdigitalmar1","Private","","No","","0","0","","","","","5305 N Winona Dr","Pharr","Texas","78577","United States","5305 N Winona Dr, Pharr, Texas, 78577, United States","1","","","","","","","instantexportexcel1714527006743"
"1308893646","Red Berry Solar Solutions","www.redberryusa.com","","","","","2604","$1 mil. - $5 mil.","13","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1308893646","","","","Private","","No","","0","0","","","","","2245 Texas Dr Ste 300","Sugar Land","Texas","77479","United States","2245 Texas Dr Ste 300, Sugar Land, Texas, 77479, United States","1","","","","","","","instantexportexcel1714527006743"
"1311710529","DCS Solar","www.dcs-solar.com","","","","","2447","$1 mil. - $5 mil.","13","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","16022691","https://app.zoominfo.com/#/apps/profile/company/1311710529","","http://www.facebook.com/dcssolartexas","","Private","","No","","0","0","","","","","4810 Mckinney Ave Apt 202","Dallas","Texas","75205","United States","4810 Mckinney Ave Apt 202, Dallas, Texas, 75205, United States","1","","","","","","","instantexportexcel1714527006743"
"1311344968","Surety Solar","www.surety-solar.com","2021","","","","2804","$1 mil. - $5 mil.","17","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1311344968","http://www.linkedin.com/company/surety-solar","","","Private","","No","","0","0","","","","","1802 Waugh Dr","Houston","Texas","77006","United States","1802 Waugh Dr, Houston, Texas, 77006, United States","1","","","","","","","instantexportexcel1714527006743"
"1333178930","Amarillo Solar Pros","www.amarillosolarpros.com","","","","","1983","$1 mil. - $5 mil.","13","Employees.10to19","1623","162","16;162;1623","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1333178930","","","","Private","","No","","0","0","","","","","12500 S Coulter St","Amarillo","Texas","79119","United States","12500 S Coulter St, Amarillo, Texas, 79119, United States","1","","","","","","","instantexportexcel1714527006743"
"1102240181","Solar Now","","","(979) 548-0098","","","327","Under $500,000","5","Employees.5to9","1711","171","17;171;1711","238220","23822","23;238;2382;23822;238220","Construction","Commercial & Residential Construction","Construction","Commercial & Residential Construction","construction","construction.construction","","https://app.zoominfo.com/#/apps/profile/company/1102240181","","","","Private","","No","","0","0","","","","","133 S Fm 524","Sweeny","Texas","77480","United States","133 S Fm 524, Sweeny, Texas, 77480, United States","1","","","","","","","instantexportexcel1714527006743"
"1263635685","Bayou City Solar Systems","","","(713) 880-3990","","","374","Under $500,000","5","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1263635685","","","","Private","","No","","0","0","","","","","1408 W 25th St","Houston","Texas","77008","United States","1408 W 25th St, Houston, Texas, 77008, United States","1","","","","","","","instantexportexcel1714527006743"
"1192070871","Solar Sense","","2002","(817) 320-2464","","","1157","$1 mil. - $5 mil.","5","Employees.5to9","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1192070871","","","","Private","","No","","0","0","","","","","401 Bonita Dr","Granbury","Texas","76049","United States","401 Bonita Dr, Granbury, Texas, 76049, United States","1","","","","","","","instantexportexcel1714527006743"
"1326358872","Polanco Home Solutions","www.polancohomesolutions.com","","","","","1964","$1 mil. - $5 mil.","14","Employees.10to19","8748","874","87;874;8748","541618","54161","54;541;5416;54161;541618","Business Services","Management Consulting","Business Services","Management Consulting","bizservice","bizservice.consulting","","https://app.zoominfo.com/#/apps/profile/company/1326358872","","http://www.facebook.com/polanco-home-solutions-100086208236003","","Private","B2B","No","","0","0","","","","","15502 Hwy 3 Ste 710","Webster","Texas","77598","United States","15502 Hwy 3 Ste 710, Webster, Texas, 77598, United States","1","","","","","","","instantexportexcel1714527006743"
"1323182023","Star Solar TX","www.starsolartx.com","2022","","","","2069","$1 mil. - $5 mil.","27","Employees.20to49","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/1323182023","http://www.linkedin.com/company/star-solar-tx-llc","http://www.facebook.com/starsolartx","","Private","B2B","No","","0","0","","","","","1910 Pacific Ave","Dallas","Texas","75201","United States","1910 Pacific Ave, Dallas, Texas, 75201, United States","1","","","","","","","instantexportexcel1714527006743"
"558238859","Solar Oil Project","www.solaroil.io","","","","","1808","$1 mil. - $5 mil.","4","Employees.1to4","5172","517","51;517;5172","424720","42472","42;424;4247;42472;424720","Energy, Utilities & Waste","","Energy, Utilities & Waste;Retail","Electricity, Oil & Gas;Oil & Gas Exploration & Services;Convenience Stores, Gas Stations & Liquor Stores","energy","","20426001","https://app.zoominfo.com/#/apps/profile/company/558238859","http://www.linkedin.com/company/solaroilproject","http://www.facebook.com/solaroilproject","http://www.twitter.com/solaroilproject","Private","B2B","No","","0","0","","","","","17918 Blue Ridge Shores Dr","Cypress","Texas","07433","United States","17918 Blue Ridge Shores Dr, Cypress, Texas, 07433, United States","1","","","","","","","instantexportexcel1714527006743"
"355419267","PowerStore","www.powerstore.com","","(817) 779-7210","","","3742","$1 mil. - $5 mil.","14","Employees.10to19","7221","722","72;722;7221","541921","54192","54;541;5419;54192;541921","Consumer Services","Photography Studio","Consumer Services","Photography Studio","consumerservices","consumerservices.photo","3650840","https://app.zoominfo.com/#/apps/profile/company/355419267","","","","Private","B2C","Yes","November 27, 2023","0","0","","","","","4305 Longhorn Dr","Alvarado","Texas","76009","United States","4305 Longhorn Dr, Alvarado, Texas, 76009, United States","1","","","","","","","instantexportexcel1714527006743"
"253330261","Solar Soccer Club","www.solarsoccerclub.com","1976","(972) 649-4215","","","3197","$1 mil. - $5 mil.","66","Employees.50to99","7941","794","79;794;7941","711211","71121","71;711;7112;71121;711211","Hospitality","Sports Teams & Leagues","Hospitality","Sports Teams & Leagues","hospitality","hospitality.sports","16267443","https://app.zoominfo.com/#/apps/profile/company/253330261","http://www.linkedin.com/company/solar-soccer-club","http://www.facebook.com/solarsoccerclub","http://www.twitter.com/solar_soccer","Private","B2B","Yes","April 16, 2021","0","0","","","","","107 Suncreek Dr Ste 300","Allen","Texas","75013","United States","107 Suncreek Dr Ste 300, Allen, Texas, 75013, United States","11","","","","","","","instantexportexcel1714527006743"
"1262595456","Oak Lawn Heights Solar","","2012","","","","263","Under $500,000","7","Employees.5to9","1721","172","17;172;1721","561730","56173","56;561;5617;56173;561730","Consumer Services","Landscape Services","Consumer Services","Landscape Services","consumerservices","consumerservices.landscaping","","https://app.zoominfo.com/#/apps/profile/company/1262595456","","","","Private","","No","","0","0","","","","","8 Greenway Plz Ste 905","Houston","Texas","77046","United States","8 Greenway Plz Ste 905, Houston, Texas, 77046, United States","1","","","","","","","instantexportexcel1714527006743"
"1255288945","Solar Nails 1","","","(817) 523-5318","","","199","Under $500,000","5","Employees.5to9","7231","723","72;723;7231","812113","81211","81;812;8121;81211;812113","Consumer Services","Barber Shops & Beauty Salons","Consumer Services","Barber Shops & Beauty Salons","consumerservices","consumerservices.hairsalon","","https://app.zoominfo.com/#/apps/profile/company/1255288945","http://www.linkedin.com/company/solar-nails-1","","","Private","B2C","No","","0","0","","","","","507 E Hwy 199","Springtown","Texas","76082","United States","507 E Hwy 199, Springtown, Texas, 76082, United States","1","","","","","","","instantexportexcel1714527006743"
"549458319","DBA-Infinity Solar","www.solutionsforsolar.com","","(469) 304-3444","","","2235","$1 mil. - $5 mil.","10","Employees.10to19","1629","162","16;162;1629","237130","23713","23;237;2371;23713;237130","Construction","Civil Engineering Construction","Construction","Civil Engineering Construction","construction","construction.civil","","https://app.zoominfo.com/#/apps/profile/company/549458319","","http://www.facebook.com/solutionsforsolar","","Private","","No","","0","0","","","","","5760 Legacy Dr Ste B3-377","Plano","Texas","75024","United States","5760 Legacy Dr Ste B3-377, Plano, Texas, 75024, United States","1","","","","","","","instantexportexcel1714527006743"
"353852440","Aspenmark Roofing & Solar","www.aspenmarkroofing.com","","(210) 670-6111","","","1696","$1 mil. - $5 mil.","10","Employees.10to19","1761","176","17;176;1761","238160","23816","23;238;2381;23816;238160","Construction","Commercial & Residential Construction","Construction","Commercial & Residential Construction","construction","construction.construction","","https://app.zoominfo.com/#/apps/profile/company/353852440","http://www.linkedin.com/company/aspenmark-roofing-and-solar-solutions","http://www.facebook.com/aspenmarkroofing","http://www.twitter.com/aspenmark","Private","B2B","Yes","August 31, 2020","0","0","","","","","2947 Blystone Ln","Dallas","Texas","75220","United States","2947 Blystone Ln, Dallas, Texas, 75220, United States","2","","","","","","","instantexportexcel1714527006743"
"1224341189","Y Energy","www.yenergypartners.com","2013","(888) 412-2229","","","1075","$1 mil. - $5 mil.","3","Employees.1to4","4911","491","49;491;4911","221118","22111","22;221;2211;22111;221118","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/1224341189","http://www.linkedin.com/company/y-energy","http://www.facebook.com/yenergypartners","","Private","","Yes","February 01, 2023","0","0","","","","","2916 W T C Jester Blvd Ste 200","Houston","Texas","77018","United States","2916 W T C Jester Blvd Ste 200, Houston, Texas, 77018, United States","2","","","","","","","instantexportexcel1714527006743"
"1313168226","Solar Energy","www.empowernrg.com","","(346) 453-0757","","","3357","$1 mil. - $5 mil.","12","Employees.10to19","4911","491","49;491;4911","221118","22111","22;221;2211;22111;221118","Energy, Utilities & Waste","Electricity, Oil & Gas","Energy, Utilities & Waste","Electricity, Oil & Gas","energy","energy.energy","","https://app.zoominfo.com/#/apps/profile/company/1313168226","","","","Private","B2B","No","","0","0","","","","","3722 Ocee St","Houston","Texas","77063","United States","3722 Ocee St, Houston, Texas, 77063, United States","1","","","","","","","instantexportexcel1714527006743"
"70239178","National Carport Industries","www.nationalcarport.com","1998","(903) 892-1896","(903) 892-9098","","3285","$1 mil. - $5 mil.","24","Employees.20to49","3999","399","39;399;3999","339999","33999","33;339;3399;33999;339999","Manufacturing","Plastic, Packaging & Containers","Manufacturing","Plastic, Packaging & Containers;Household Goods","mfg","mfg.plastic","20906965","https://app.zoominfo.com/#/apps/profile/company/70239178","http://www.linkedin.com/company/national-carport-industries","http://www.facebook.com/national-carport-industries-780242602104249","","Private","B2B","Yes","April 23, 2021","150","150","Debt","April 05, 2020","PPP","PPP","PO Box 2323","Sherman","Texas","75091","United States","PO Box 2323, Sherman, Texas, 75091, United States","3","","","","","","","instantexportexcel1714527006743"
"1266026055","Solar - X Service And Supply","","2002","(979) 265-8031","","","229","Under $500,000","4","Employees.1to4","5099","509","50;509;5099","423990","42399","42;423;4239;42399;423990","Retail","Home Improvement & Hardware Retail","Retail","Home Improvement & Hardware Retail","retail","retail.hardware","","https://app.zoominfo.com/#/apps/profile/company/1266026055","","","","Private","B2C","No","","0","0","","","","","820 W Plantation Dr","Clute","Texas","77531","United States","820 W Plantation Dr, Clute, Texas, 77531, United States","1","","","","","","","instantexportexcel1714527006743"
